"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",68,0.602615472050015,2.05799553317859,1.34293148554464e-05,5.86006466419478e-05,2.05616304006834e-05,515,"tags=34%, list=8%, signal=32%","9314/5366/2353/3280/7071/8553/5914/8140/25976/23030/960/2717/10105/3487/23223/29107/10140/595/9612/60436/1997/573/6478"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",89,0.547012065049836,1.95716604209175,1.55549104903698e-05,6.22196419614792e-05,2.18314533198173e-05,1197,"tags=43%, list=18%, signal=36%","467/9709/9775/8140/9114/1974/54541/7280/10797/811/27230/10528/7534/3309/9531/468/10525/55466/7184/4189/64061/1977/6208/6509/1965/1938/4869/3313/7494/27257/10775/1981/9451/8815/1054/1051/6734/64859"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",180,0.451392031597032,1.76996650873191,1.70822369403765e-05,6.30728748567747e-05,2.21308332830788e-05,1380,"tags=36%, list=20%, signal=29%","527/506/8992/54205/81689/2879/5250/4700/7417/23479/1327/3939/533/293/7388/10632/10063/292/1337/5447/10975/1345/1349/481/4942/7381/529/518/10440/4697/9377/9296/1347/514/51382/1340/29088/56993/26519/3313/4708/56945/2746/4710/7416/80273/27089/4706/4717/29796/4694/4709/1351/211/4729/6183/50/1350/9551/3052/521/1329/537/6390"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",68,0.579704050137296,1.97975060562181,4.56975901610978e-05,0.000156677451980907,5.49745445547042e-05,1060,"tags=44%, list=16%, signal=38%","9314/1844/2353/7538/8140/960/2717/10105/3669/3487/6768/51599/29107/10140/595/9612/6446/573/6478/1345/5932/374/10950/6509/399665/7494/2171/928/11031/9368"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",40,0.637978271682959,1.96911791162623,0.000131739784549334,0.000421567310557867,0.000147918354581708,1168,"tags=40%, list=17%, signal=33%","467/6282/58191/3422/71/6811/5641/3958/6309/22809/3157/308/2171/928/1119/2990"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",33,0.622712286974516,1.84932946622859,0.000735582951618104,0.00220674885485431,0.00077429784380853,1384,"tags=61%, list=20%, signal=48%","23645/3399/7071/3726/7040/7050/6498/9612/3397/5499/2280/6574/387/11031/3460/28996/51742/1025/6497/7323"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",36,0.603936694988802,1.82185236043601,0.00105717138570691,0.0029849545008195,0.00104735245642789,1317,"tags=56%, list=19%, signal=45%","3726/5052/2879/4700/5621/9124/7295/2512/6647/10542/55829/6648/4046/7296/4710/7001/4155/3163/4363/9588"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",113,0.431217938716726,1.59496216575795,0.00230766926475018,0.00615378470600049,0.00215922270385982,1244,"tags=28%, list=18%, signal=24%","415116/7316/10124/7351/2879/10140/10010/84919/226/483/6510/6647/1337/5447/10975/1349/123/4189/27069/9908/29088/26994/5209/604/80273/27089/3459/4706/29796/64859/79602/1351"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",39,0.580948040400097,1.7782116131729,0.00244842261274052,0.0061854887058708,0.00217034691434063,185,"tags=26%, list=3%, signal=25%","3659/7040/5292/7124/3162/1326/3725/960/9021/7133"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",83,0.466111467692306,1.64904686150273,0.00277445968772711,0.00665870325054507,0.00233638710545441,962,"tags=29%, list=14%, signal=25%","7852/9123/960/54541/3669/8870/4678/7167/3939/226/3925/7295/5315/5223/10370/6647/3309/5230/2805/2023/5478/3597/10776/10456"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",73,0.473549756516577,1.63702894400935,0.00326524440850145,0.00746341579086046,0.00261874238275805,800,"tags=23%, list=12%, signal=21%","8878/1026/1649/7852/5606/396/7334/2872/811/375/1072/5499/6503/7184/1977/466/4793"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",63,0.494539831180723,1.6654807338012,0.00515365569786462,0.0109507147282507,0.00384235604500025,671,"tags=21%, list=10%, signal=19%","3162/4814/29950/3487/7009/23710/10728/6510/3394/5447/4502/10653/384"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",94,0.439015212837326,1.59232537478907,0.00524721747395346,0.0109507147282507,0.00384235604500025,1225,"tags=40%, list=18%, signal=34%","3659/54331/5292/1604/391/1847/7128/3303/10938/801/3665/60489/9806/1512/10019/5641/1508/3958/3309/51056/5580/2783/4067/2773/7077/8851/808/308/6935/11108/23764/1848/5531/6352/2771/1051/9097/5663"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",109,0.405441945214072,1.50242890240969,0.00664994977000887,0.0132998995400177,0.00466663141755008,676,"tags=21%, list=10%, signal=19%","4953/7040/27338/3159/8140/6427/4082/3312/602/51155/1164/262/3838/4678/595/7090/3925/10460/4502/2935/6541/10212/22809"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",178,0.377075962744706,1.48028031724274,0.00697506215486008,0.0133921193373314,0.0046989892411689,1258,"tags=30%, list=19%, signal=25%","4953/6428/3475/3329/6427/9188/6432/3336/5250/3326/3838/6637/2079/5901/3939/10528/10728/5691/5230/5688/7458/2935/8894/3608/6175/3178/9377/8669/10576/2107/1977/54107/22948/1965/26986/5478/4869/7332/2547/5093/4174/8761/5714/6629/7027/7416/4706/5704/10971/26156/5690/1019/10907"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",56,0.488783503221698,1.60000638479572,0.00753446777396297,0.0139097866596239,0.00488062689811366,755,"tags=30%, list=11%, signal=27%","6303/84159/3422/23223/22936/11047/9590/595/10397/567/6446/3638/4189/3157/6675/54407/2773"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",45,0.520367845700304,1.64301996338437,0.0116306514112361,0.0199382595621189,0.00699588054811191,941,"tags=36%, list=14%, signal=31%","1026/4616/8553/7040/9144/3475/1974/11345/5621/573/1134/4209/4641/4046/9659/7170"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",103,0.412325801664583,1.52121445903958,0.0112678512625479,0.0199382595621189,0.00699588054811191,1171,"tags=38%, list=17%, signal=32%","5552/3105/7040/7124/3383/3603/602/7334/3665/6890/6351/2316/6688/3122/2833/924/567/7321/1984/3394/3117/972/958/8661/3133/6203/8651/8669/4067/4869/2000/6170/4050/1029/9466/3460/6352/3459/822"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",30,0.519345621441927,1.50688833080884,0.0276670758561127,0.045793780727359,0.0160679932376698,1712,"tags=63%, list=25%, signal=48%","378/23479/1512/1397/5641/1508/2783/11072/553115/928/23764/1848/9948/22933/5341/842/10603/6284/5877"
